qasm_path,matrix_product_state_max_bond_dimension,mps_lapack,opt_level,matrix_product_state_truncation_threshold,mps_sample_measure_algorithm
feniqs_optimizer/data/paper_data/ae/ae_ucx_14.qasm,128,0,1,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/qft/qft_ucx_100.qasm,2048,0,2,1e-2,mps_apply_measure
feniqs_optimizer/data/paper_data/graphstate/graphstate_ucx_14.qasm,512,0,1,1e-7,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_4.qasm,1024,0,1,1e-5,mps_apply_measure
feniqs_optimizer/data/paper_data/graphstate/graphstate_ucx_10.qasm,512,0,1,1e-2,mps_probabilities
feniqs_optimizer/data/paper_data/su2random/su2random_ucx_9.qasm,64,0,1,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/qwalk/qwalk-v-chain_ucx_8.qasm,16,0,1,1e-8,mps_probabilities
feniqs_optimizer/data/paper_data/graphstate/graphstate_ucx_26.qasm,32,0,1,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/qft/qft_ucx_26.qasm,2048,0,1,1e-5,mps_apply_measure
feniqs_optimizer/data/paper_data/ghz/ghz_ucx_208.qasm,4,0,1,1e-8,mps_probabilities
feniqs_optimizer/data/paper_data/ghz/ghz_ucx_24.qasm,4,0,1,1e-1,mps_probabilities
feniqs_optimizer/data/paper_data/ghz/ghz_ucx_352.qasm,2048,0,1,1e-8,mps_probabilities
feniqs_optimizer/data/paper_data/wstate/wstate_ucx_4.qasm,64,0,1,1e-5,mps_apply_measure
feniqs_optimizer/data/paper_data/wstate/wstate_ucx_32.qasm,16,0,1,1e-2,mps_probabilities
feniqs_optimizer/data/paper_data/qnn/qnn_ucx_13.qasm,512,0,1,1e-3,mps_probabilities
feniqs_optimizer/data/paper_data/ghz/ghz_ucx_6.qasm,2048,0,1,1e-1,mps_apply_measure
feniqs_optimizer/data/paper_data/ae/ae_ucx_16.qasm,1024,0,1,1e-2,mps_probabilities
feniqs_optimizer/data/paper_data/qpeexact/qpeexact_ucx_8.qasm,4,0,1,1e-6,mps_apply_measure
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_7.qasm,16,0,1,1e-7,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_15.qasm,256,0,1,1e-5,mps_probabilities
feniqs_optimizer/data/paper_data/wstate/wstate_ucx_30.qasm,128,0,1,1e-8,mps_probabilities
feniqs_optimizer/data/paper_data/su2random/su2random_ucx_11.qasm,128,0,1,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/qft/qft_ucx_11.qasm,512,0,1,1e-3,mps_apply_measure
feniqs_optimizer/data/paper_data/qftentangled/qftentangled_ucx_6.qasm,4,0,1,1e-6,mps_probabilities
feniqs_optimizer/data/paper_data/ghz/ghz_ucx_104.qasm,512,0,1,1e-8,mps_probabilities
feniqs_optimizer/data/paper_data/ghz/ghz_ucx_256.qasm,4,0,1,1e-6,mps_probabilities
feniqs_optimizer/data/paper_data/ghz/ghz_ucx_44.qasm,2048,0,1,1e-1,mps_probabilities
feniqs_optimizer/data/paper_data/qft/qft_ucx_44.qasm,128,0,2,1e-2,mps_apply_measure
feniqs_optimizer/data/paper_data/ghz/ghz_ucx_224.qasm,512,0,1,1e-1,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_7.qasm,32,0,1,1e-8,mps_probabilities
